Ticket_ID,Camera_ID,Store_Location,Store_City,Store_State,Site_Name,Zone,Banner,Region,Market,Manufacturer,Model,Serial_Number,Failure_Reason,Ticket_Created_Date,Priority,Resolution_Date,Replacement_Purchased,Replacement_Cost,Warranty_Status_At_Failure,Days_Until_Warranty_Expiration,Recommended_Action,Potential_Recovery_Value
TKT-000002,CAM134510,10436,Manassas,VA,"Manassas, VA #10436",Receiving Area,Supercenter,75,314,Axis,Q6075-E,AXI164847783,Firmware Corruption,2025-09-25,Medium,2025-10-08,No,0,Active,1396,Check RMA Eligibility,-150
TKT-000011,CAM65892,10161,Roanoke,VA,"Roanoke, VA #10161",Self-Checkout,Supercenter,75,508,Bosch,AUTODOME IP 5000i,BOS581595752,Network Connectivity Lost,2025-06-24,High,2025-07-16,No,0,Active,1232,Check RMA Eligibility,-150
TKT-000013,CAM170598,10580,Oxon Hill,MD,"Oxon Hill, MD #10580",Customer Service,Supercenter,75,290,Bosch,FLEXIDOME IP 3000i,BOS534479545,Moisture Ingress,2025-07-30,High,2025-08-04,No,0,Active,824,Check RMA Eligibility,-150
TKT-000015,CAM23220,5343,FREDERICKSBURG,VA,"FREDERICKSBURG, VA #5343",Self-Checkout,Supercenter,75,291,Axis,P3265-LVE,AXI437312769,No Video Signal,2024-11-20,Low,2024-12-20,No,0,Active,893,Check RMA Eligibility,-150
TKT-000021,CAM82872,10229,Yorktown,VA,"Yorktown, VA #10229",Bakery,Supercenter,75,315,Hanwha,XNV-8080R,HAN428825591,No Video Signal,2025-05-07,High,2025-05-22,Yes,2500,Active,887,Submit Warranty Claim,2350
TKT-000023,CAM71877,10185,Hanover,MD,"Hanover, MD #10185",Deli,Supercenter,75,289,Bosch,FLEXIDOME IP 3000i,BOS420574919,Cable Damage,2025-07-16,High,2025-07-21,No,0,Active,856,Check RMA Eligibility,-150
TKT-000025,CAM193362,10671,Poquoson,VA,"Poquoson, VA #10671",Office Area,Supercenter,75,281,Bosch,FLEXIDOME IP 3000i,BOS466065838,Image Quality Degraded,2025-06-30,Low,2025-07-08,No,0,Active,601,Check RMA Eligibility,-150
TKT-000026,CAM211180,10742,Covington,VA,"Covington, VA #10742",Front Entrance,Supercenter,75,288,Bosch,DINION IP starlight 8000,BOS120339016,Network Connectivity Lost,2026-01-17,High,2026-02-04,No,0,Active,710,Check RMA Eligibility,-150
TKT-000027,CAM169887,10577,Dublin,VA,"Dublin, VA #10577",Sales Floor Aisle 1-10,Supercenter,75,290,Axis,M3046-V,AXI517564794,Zoom Malfunction,2025-11-04,Low,2025-12-02,No,0,Active,428,Check RMA Eligibility,-150
TKT-000033,CAM207535,10728,Randallstown,MD,"Randallstown, MD #10728",Office Area,Supercenter,75,312,Hanwha,PNM-C16083RVQ,HAN500199925,Video Artifacts,2025-12-30,Medium,2026-01-25,No,0,Active,408,Check RMA Eligibility,-150
TKT-000034,CAM103541,10312,Staunton,VA,"Staunton, VA #10312",Bakery,Supercenter,75,508,Axis,M3067-P,AXI494832197,Firmware Corruption,2025-03-15,Medium,2025-03-18,No,0,Active,671,Check RMA Eligibility,-150
TKT-000042,CAM59078,10134,Herndon,VA,"Herndon, VA #10134",Rear Entrance,Supercenter,75,288,Bosch,FLEXIDOME IP 5000i,BOS638785428,Overheating,2025-06-17,High,2025-06-25,No,0,Expiring Soon,72,Escalate Before Warranty Expires,-150
TKT-000045,CAM74181,10194,Westminster,MD,"Westminster, MD #10194",Grocery Section,Supercenter,75,282,Hanwha,PNV-A9081R,HAN517629269,IR LEDs Burned Out,2026-03-29,High,2026-04-12,No,0,Expiring Soon,79,Escalate Before Warranty Expires,-150
TKT-000047,CAM22086,4697,LYNCHBURG,VA,"LYNCHBURG, VA #4697",Customer Service,Supercenter,75,315,Hanwha,XNV-8080R,HAN314961817,PTZ Motor Failure,2025-09-09,Medium,2025-09-16,No,0,Active,682,Check RMA Eligibility,-150
TKT-000048,CAM156727,10524,Edgewood,MD,"Edgewood, MD #10524",Bakery,Supercenter,75,282,Hanwha,XNF-8010RV,HAN281981800,PTZ Motor Failure,2024-12-13,Low,2025-01-06,Yes,2500,Expiring Soon,44,Submit Warranty Claim,2350
TKT-000051,CAM191965,10665,Bristol,VA,"Bristol, VA #10665",Loading Dock,Supercenter,75,282,Axis,P3265-LVE,AXI833309003,Video Artifacts,2026-02-12,Critical,2026-03-08,No,0,Active,978,Check RMA Eligibility,-150
TKT-000053,CAM159172,10534,Laurel,MD,"Laurel, MD #10534",Stockroom,Supercenter,75,508,Axis,Q6155-E,AXI624577034,IR LEDs Burned Out,2025-04-09,Low,2025-05-06,Yes,2500,Active,1252,Submit Warranty Claim,2350
TKT-000055,CAM203094,10710,Culpeper,VA,"Culpeper, VA #10710",Front Entrance,Supercenter,75,293,Axis,P3245-LVE,AXI739125438,No Video Signal,2026-03-14,High,2026-03-18,No,0,Active,141,Check RMA Eligibility,-150
TKT-000057,CAM191569,10664,Fairfax,VA,"Fairfax, VA #10664",Automotive Section,Supercenter,75,287,Hanwha,XND-6081RV,HAN578199260,Cable Damage,2026-02-16,High,2026-02-19,No,0,Active,157,Check RMA Eligibility,-150
TKT-000058,CAM155328,10519,Smithfield,VA,"Smithfield, VA #10519",Break Room,Supercenter,75,315,Bosch,MIC IP fusion 9000i,BOS797720752,Zoom Malfunction,2025-02-09,Medium,2025-03-01,No,0,Active,1187,Check RMA Eligibility,-150
TKT-000062,CAM55341,10119,Williamsburg,VA,"Williamsburg, VA #10119",Cash Registers,Supercenter,75,289,Hanwha,PNM-9085RQZ,HAN677594444,Focus Issue,2024-12-28,Medium,2025-01-05,No,0,Expiring Soon,36,Escalate Before Warranty Expires,-150
TKT-000068,CAM152671,10508,Lynchburg,VA,"Lynchburg, VA #10508",Receiving Area,Supercenter,75,312,Bosch,DINION IP 7000 HD,BOS197248152,Firmware Corruption,2025-07-04,Low,2025-07-17,Yes,2500,Active,357,Submit Warranty Claim,2350
TKT-000069,CAM21484,4623,NEWPORT NEWS,VA,"NEWPORT NEWS, VA #4623",Jewelry Counter,Supercenter,75,288,Hanwha,QNO-8080R,HAN202929106,Lightning Strike,2025-04-05,Medium,2025-05-04,No,0,Active,539,Check RMA Eligibility,-150
TKT-000083,CAM131566,10424,Charlottesville,VA,"Charlottesville, VA #10424",Office Area,Supercenter,75,288,Bosch,MIC IP fusion 9000i,BOS741567700,Lightning Strike,2024-12-09,High,2025-01-07,No,0,Active,822,Check RMA Eligibility,-150
TKT-000087,CAM100041,10298,Ashland,VA,"Ashland, VA #10298",Emergency Exit East,Supercenter,75,314,Bosch,FLEXIDOME IP 5000i,BOS241827662,Firmware Corruption,2024-11-21,Medium,2024-11-24,No,0,Active,545,Check RMA Eligibility,-150
TKT-000110,CAM61252,10143,Suffolk,VA,"Suffolk, VA #10143",Grocery Section,Supercenter,75,508,Hanwha,XND-6081RV,HAN549507628,Overheating,2026-01-09,Critical,2026-01-11,No,0,Active,1250,Check RMA Eligibility,-150
TKT-000115,CAM152229,10506,Waynesboro,VA,"Waynesboro, VA #10506",Customer Service,Supercenter,75,287,Axis,P3265-LVE,AXI395735013,Firmware Corruption,2024-12-04,Critical,2024-12-30,No,0,Active,1019,Check RMA Eligibility,-150
TKT-000118,CAM62818,10149,Wytheville,VA,"Wytheville, VA #10149",Stockroom,Supercenter,75,290,Axis,Q6075-E,AXI817092990,Audio Failure,2026-03-24,Medium,2026-04-18,No,0,Active,691,Check RMA Eligibility,-150
TKT-000125,CAM97563,10288,Alexandria,VA,"Alexandria, VA #10288",Emergency Exit West,Supercenter,75,288,Axis,Q6075-E,AXI448713034,Audio Failure,2025-04-21,High,2025-05-07,Yes,2500,Active,656,Submit Warranty Claim,2350
TKT-000130,CAM5448,1730,TAPPAHANNOCK,VA,"TAPPAHANNOCK, VA #1730",Cash Registers,Supercenter,75,287,Hanwha,XNV-8080R,HAN521026141,Mounting Bracket Broken,2025-03-25,Low,2025-04-15,No,0,Active,1433,Check RMA Eligibility,-150
TKT-000140,CAM102155,10306,Hampton,VA,"Hampton, VA #10306",Jewelry Counter,Supercenter,75,291,Bosch,AUTODOME IP 5000i,BOS706434688,No Video Signal,2025-12-15,Low,2026-01-03,No,0,Expiring Soon,37,Escalate Before Warranty Expires,-150
TKT-000146,CAM120158,10378,Chesapeake,VA,"Chesapeake, VA #10378",Restrooms Area,Supercenter,75,291,Hanwha,XNV-8080R,HAN712349704,SD Card Failure,2025-03-27,Low,2025-03-30,Yes,2500,Expiring Soon,30,Submit Warranty Claim,2350
TKT-000159,CAM180299,10619,Roanoke,VA,"Roanoke, VA #10619",Emergency Exit West,Supercenter,75,315,Hanwha,XNV-8080R,HAN710321481,Audio Failure,2026-04-14,Critical,2026-05-02,No,0,Active,457,Check RMA Eligibility,-150
TKT-000165,CAM117827,10369,Christiansburg,VA,"Christiansburg, VA #10369",Office Area,Supercenter,75,293,Bosch,DINION IP starlight 8000,BOS548015125,Moisture Ingress,2024-11-29,Critical,2024-12-29,No,0,Active,689,Check RMA Eligibility,-150
TKT-000166,CAM211798,10745,Emporia,VA,"Emporia, VA #10745",Restrooms Area,Supercenter,75,281,Bosch,AUTODOME IP 5000i,BOS453642458,Moisture Ingress,2026-03-06,Medium,2026-03-08,No,0,Active,916,Check RMA Eligibility,-150
TKT-000168,CAM16512,3243,ROANOKE,VA,"ROANOKE, VA #3243",Bakery,Supercenter,75,312,Axis,P1448-LE,AXI709551773,Mounting Bracket Broken,2025-07-29,Low,2025-08-07,No,0,Active,504,Check RMA Eligibility,-150
TKT-000176,CAM212418,10747,Clinton,MD,"Clinton, MD #10747",Customer Service,Supercenter,75,315,Hanwha,PNV-A9081R,HAN808649606,IR LEDs Burned Out,2026-01-21,Low,2026-01-28,No,0,Active,710,Check RMA Eligibility,-150
TKT-000183,CAM165778,10561,Smithfield,VA,"Smithfield, VA #10561",Bakery,Supercenter,75,282,Hanwha,XNV-8080R,HAN422256175,SD Card Failure,2026-02-27,Medium,2026-03-09,No,0,Active,943,Check RMA Eligibility,-150
TKT-000190,CAM69340,10175,Waldorf,MD,"Waldorf, MD #10175",Self-Checkout,Supercenter,75,315,Hanwha,PNM-C16083RVQ,HAN167203155,Firmware Corruption,2025-01-04,Critical,2025-01-28,No,0,Active,1058,Check RMA Eligibility,-150
TKT-000195,CAM109490,10335,Covington,VA,"Covington, VA #10335",Break Room,Supercenter,75,315,Axis,M3046-V,AXI203831941,Overheating,2025-06-08,Medium,2025-06-24,No,0,Active,1066,Check RMA Eligibility,-150
TKT-000197,CAM181055,10622,Salem,VA,"Salem, VA #10622",Emergency Exit West,Supercenter,75,289,Axis,Q6075-E,AXI232816109,Focus Issue,2026-01-30,High,2026-02-12,No,0,Active,1053,Check RMA Eligibility,-150
TKT-000198,CAM127806,10409,Parkville,MD,"Parkville, MD #10409",Garden Center,Supercenter,75,282,Hanwha,PNV-A9081R,HAN878011867,Moisture Ingress,2024-11-11,High,2024-12-07,Yes,2500,Active,1061,Submit Warranty Claim,2350
TKT-000205,CAM22561,5228,COLUMBIA,MD,"COLUMBIA, MD #5228",Deli,Supercenter,75,282,Bosch,AUTODOME IP 5000i,BOS951080453,Focus Issue,2026-03-26,Critical,2026-03-29,No,0,Active,863,Check RMA Eligibility,-150
TKT-000207,CAM66251,10163,Radford,VA,"Radford, VA #10163",Break Room,Supercenter,75,289,Hanwha,PNV-A9081R,HAN559671924,Physical Damage,2024-11-14,High,2024-11-25,No,0,Active,593,Check RMA Eligibility,-150
TKT-000209,CAM146708,10484,Middle River,MD,"Middle River, MD #10484",Restrooms Area,Supercenter,75,508,Hanwha,PNV-A9081R,HAN191405911,SD Card Failure,2025-05-21,High,2025-06-17,No,0,Active,1032,Check RMA Eligibility,-150
TKT-000212,CAM19556,3831,PORTSMOUTH,VA,"PORTSMOUTH, VA #3831",Front Entrance,Supercenter,75,288,Bosch,FLEXIDOME IP 3000i,BOS226708540,SD Card Failure,2025-07-03,Critical,2025-07-13,No,0,Active,266,Check RMA Eligibility,-150
